source_name,platform,team_or_scope,video_id,title,published,updated,author,url,embed_url,thumbnail_url,matched_keywords,relevance_score,is_mens_world_cup_relevant,exclusion_reason,rights_posture,analysis_allowed_v1,download_allowed,retrieved_on,is_relevant_mens_worldcup_2026,cleaning_exclusion_reason
US Soccer,YouTube,USA,uEMihYz7zEE,26 Stories To '26 with USMNT's Cristian Roldan,2026-06-08T23:02:26+00:00,2026-06-08T23:02:29+00:00,U.S. Soccer,https://www.youtube.com/watch?v=uEMihYz7zEE,https://www.youtube.com/embed/uEMihYz7zEE,https://i2.ytimg.com/vi/uEMihYz7zEE/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
US Soccer,YouTube,USA,hlsFtnZzngk,26 Stories To '26 with USMNT's Tyler Adams,2026-06-08T22:58:32+00:00,2026-06-09T08:34:31+00:00,U.S. Soccer,https://www.youtube.com/watch?v=hlsFtnZzngk,https://www.youtube.com/embed/hlsFtnZzngk,https://i1.ytimg.com/vi/hlsFtnZzngk/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
US Soccer,YouTube,USA,dicU4gwzM6c,"26 USMNT Moments, Past to Present: Episode 23",2026-06-08T19:00:12+00:00,2026-06-09T07:25:01+00:00,U.S. Soccer,https://www.youtube.com/watch?v=dicU4gwzM6c,https://www.youtube.com/embed/dicU4gwzM6c,https://i1.ytimg.com/vi/dicU4gwzM6c/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
US Soccer,YouTube,USA,FWkQKlQynp0,26 USMNT Momentos: Pasado a Presente - Episodio 23,2026-06-08T19:00:04+00:00,2026-06-09T06:27:45+00:00,U.S. Soccer,https://www.youtube.com/watch?v=FWkQKlQynp0,https://www.youtube.com/embed/FWkQKlQynp0,https://i3.ytimg.com/vi/FWkQKlQynp0/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
US Soccer,YouTube,USA,gwqCKx0peoA,"U.S. Men’s National Team player availability | June 8, 2026",2026-06-08T17:40:32+00:00,2026-06-09T07:24:34+00:00,U.S. Soccer,https://www.youtube.com/watch?v=gwqCKx0peoA,https://www.youtube.com/embed/gwqCKx0peoA,https://i4.ytimg.com/vi/gwqCKx0peoA/hqdefault.jpg,world cup|fifa|training|press conference,4,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
US Soccer,YouTube,USA,hXGW4wExtEo,Send-Off Match in Chicago HIGHLIGHTS | USMNT 1-Germany 2 | International Friendly,2026-06-07T00:38:56+00:00,2026-06-07T06:19:19+00:00,U.S. Soccer,https://www.youtube.com/watch?v=hXGW4wExtEo,https://www.youtube.com/embed/hXGW4wExtEo,https://i1.ytimg.com/vi/hXGW4wExtEo/hqdefault.jpg,world cup|fifa|highlights|friendly,4,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
Canada Soccer,YouTube,Canada,WN1NUdyZp_U,Liam Millar | Summer of Red,2026-06-08T20:00:19+00:00,2026-06-09T06:25:16+00:00,Canada Soccer,https://www.youtube.com/watch?v=WN1NUdyZp_U,https://www.youtube.com/embed/WN1NUdyZp_U,https://i4.ytimg.com/vi/WN1NUdyZp_U/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
Canada Soccer,YouTube,Canada,wC8H-qSYfFk,DREAMS AND DECISIONS | ON GUARD S2E4 CANMNT,2026-06-07T18:59:33+00:00,2026-06-08T06:59:39+00:00,Canada Soccer,https://www.youtube.com/watch?v=wC8H-qSYfFk,https://www.youtube.com/embed/wC8H-qSYfFk,https://i4.ytimg.com/vi/wC8H-qSYfFk/hqdefault.jpg,world cup|fifa|squad,3,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
Canada Soccer,YouTube,Canada,zqvdM4u7dos,"""We Can Build A Generation"" | Ismaël Koné | Summer of Red",2026-06-06T21:00:30+00:00,2026-06-09T10:02:04+00:00,Canada Soccer,https://www.youtube.com/watch?v=zqvdM4u7dos,https://www.youtube.com/embed/zqvdM4u7dos,https://i3.ytimg.com/vi/zqvdM4u7dos/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
Canada Soccer,YouTube,Canada,qz5MH_xyu5g,Crepeau's Clutch Save! | CANMNT vs Ireland Highlights,2026-06-06T03:59:47+00:00,2026-06-06T07:01:39+00:00,Canada Soccer,https://www.youtube.com/watch?v=qz5MH_xyu5g,https://www.youtube.com/embed/qz5MH_xyu5g,https://i2.ytimg.com/vi/qz5MH_xyu5g/hqdefault.jpg,highlights,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
Canada Soccer,YouTube,Canada,CkDdOBq4llg,"""A Team That Represents What Canada Is!"" Jonathan Osorio | Summer of Red",2026-06-05T18:06:42+00:00,2026-06-06T07:13:40+00:00,Canada Soccer,https://www.youtube.com/watch?v=CkDdOBq4llg,https://www.youtube.com/embed/CkDdOBq4llg,https://i4.ytimg.com/vi/CkDdOBq4llg/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
Canada Soccer,YouTube,Canada,2s659_rjOC0,Derek Cornelius | Summer of Red,2026-06-05T01:25:42+00:00,2026-06-05T09:03:27+00:00,Canada Soccer,https://www.youtube.com/watch?v=2s659_rjOC0,https://www.youtube.com/embed/2s659_rjOC0,https://i3.ytimg.com/vi/2s659_rjOC0/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
Canada Soccer,YouTube,Canada,HSdFixivctA,'I Was Told I Wasn't Good Enough for Division One Soccer' | Tajon Buchanan | Summer of RED,2026-06-04T15:00:09+00:00,2026-06-05T09:14:42+00:00,Canada Soccer,https://www.youtube.com/watch?v=HSdFixivctA,https://www.youtube.com/embed/HSdFixivctA,https://i1.ytimg.com/vi/HSdFixivctA/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
Canada Soccer,YouTube,Canada,YNbQhtFwddQ,OSORIO DRIVES IT IN | CANMNT v Uzbekistan Highlights,2026-06-02T06:31:51+00:00,2026-06-03T09:31:00+00:00,Canada Soccer,https://www.youtube.com/watch?v=YNbQhtFwddQ,https://www.youtube.com/embed/YNbQhtFwddQ,https://i2.ytimg.com/vi/YNbQhtFwddQ/hqdefault.jpg,world cup|highlights|friendly,3,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
Canada Soccer,YouTube,Canada,WxCHNrgFTPc,The People's Team | On Guard: CANMNT | Season 2 Episode 3,2026-06-01T02:16:43+00:00,2026-06-08T23:15:08+00:00,Canada Soccer,https://www.youtube.com/watch?v=WxCHNrgFTPc,https://www.youtube.com/embed/WxCHNrgFTPc,https://i4.ytimg.com/vi/WxCHNrgFTPc/hqdefault.jpg,world cup,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
Canada Soccer,YouTube,Canada,Z6cTXqvSTqU,FIFA World Cup 2026 Roster Reveal | OUR GAME NOW,2026-05-29T23:48:43+00:00,2026-06-01T03:49:53+00:00,Canada Soccer,https://www.youtube.com/watch?v=Z6cTXqvSTqU,https://www.youtube.com/embed/Z6cTXqvSTqU,https://i3.ytimg.com/vi/Z6cTXqvSTqU/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
beIN SPORTS,YouTube,Media,q2l8qgWPqoA,تواجد عربي تاريخي في كأس العالم FIFA 2026™,2026-06-09T12:27:49+00:00,2026-06-09T12:27:50+00:00,beIN SPORTS,https://www.youtube.com/watch?v=q2l8qgWPqoA,https://www.youtube.com/embed/q2l8qgWPqoA,https://i2.ytimg.com/vi/q2l8qgWPqoA/hqdefault.jpg,fifa,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10,True,
